Code,Country,tourism_employment_per_1000_over_time,food_employment_per_1000_over_time,tourism_gdp_percentage_over_time,business_to_personal_ratio_over_time,avg_stay_days_over_time,inbound_arrivals_over_time,domestic_tourists_over_time,inbound_to_outbound_ratio_over_time
ALB,Albania,15.608840199125053,,,0.02167961287401837,2.562741312741313,1793.8027383661758,,
DZA,Algeria,7.411779196694216,,1.1299207098835016,1.7645629755626873,1.621483801603442,,,
AGO,Angola,2.4392003061296945,0.7102834141613,,0.1118226481165236,4.0,2.0019691777809476,,6.42857142857143
ARG,Argentina,28.27054116990143,11.444929569809979,1.8907879822393825,0.14062479158138383,2.5522856779093965,16.460292185423736,645.3617335482996,0.42093335925317715
AUS,Australia,21.464763211894283,7.825559489957894,1.5726741278873289,0.2803770211469157,2.2166648805428517,247.32418536407386,3157.386094753677,
AUT,Austria,18.29055616242892,11.46429977653773,3.1694417680945537,,3.6268207158956773,1523.2341328226498,1206.922461155207,2.0135776971475003
AZE,Azerbaijan,5.147057110284143,,3.7,0.32562701661478494,1.5302812647489534,93.69797649395264,1058.9797281853282,0.6358555216787919
BHR,Bahrain,47.522951680327864,31.267618890678772,2.2458796528957525,0.06168621868446553,2.9585510108773128,1393.6514734631055,121.57280978019504,1.9078784985746435
BLR,Belarus,25.981162888758895,,1.5902661980694983,0.28088829381349795,2.381787561774142,83.06510536299918,291.4606493897877,1.7555069470454165
BEL,Belgium,12.777735875,6.429488049999999,1.9016732285714288,0.472032683862392,,286.20851269216223,633.1678047852888,0.3801733935636933
BLZ,Belize,42.51445709084652,13.318975020585546,,0.07388187944056052,6.236344577000543,542.6119075905664,,
BIH,Bosnia and Herzegovina,11.95901768185,9.726463678362482,,0.23211214945055392,2.3173745173745175,145.78575209997308,,
BRA,Brazil,10.34343139782127,5.9973117254870445,,0.17873833658048827,,5.138900594533572,963.15924,0.6255634664543399
BRN,Brunei,6.983811303566712,,0.8180783038919749,1.277211716813441,5.523189441263083,46.65619849179685,,
CMR,Cameroon,1.3391366578512398,0.7977187895041323,,,1.54062198995022,37.02659079804233,256.49255,
CYM,Cayman Islands,177.72935862637362,,,0.06864979734760061,6.071815199546715,671.7525200197904,,
CHL,Chile,26.14426777226971,8.081689070014841,3.3179656597005858,0.09723320290388286,2.1684160168598217,23.113792171877986,2458.4293886209084,0.5078092943452865
COM,Comoros,1.9131730999999996,0.781572096153846,,0.17548775818258977,6.999999997384009,31.942561307716122,,
COG,Congo,1.929745369505495,0.8587201068681319,,0.7824569219483027,2.5264942747770314,28.935334274113945,,
CRI,Costa Rica,28.65777092063815,19.1646544196728,4.795690118042527,0.07196355215792738,13.490907078589462,262.2853482023792,,2.418655005068924
CIV,Cote d'Ivoire,4.975301149725275,2.5706224425,2.4366762439228413,0.7495024216004716,2.027902806356508,,,
HRV,Croatia,19.80693873484342,9.620320800805194,11.728353581395348,,3.8053678697323745,2487.527669240745,816.0954523745334,15.654868785939723
CYP,Cyprus,37.081326766145935,19.109085468576144,,0.12164059580446275,4.452076521540828,1457.9497810055593,1262.443320058839,
CZE,Czechia,22.692482758540137,6.566917092266781,1.7133623695800486,,2.5246923398233707,540.5793075664769,2146.8057091707065,1.6926115251850604
DNK,Denmark,33.08627683606272,21.224082334567044,1.7034763474596548,0.02715493235774392,,1298.584987896237,3103.3855122397094,2.2382042799513004
DJI,Djibouti,1.4933581,0.5020071,,0.959242070135048,,99.69237965137337,,
DOM,Dominican Republic,15.388764696929728,6.164050282644628,,0.024724139926527857,9.452810602096687,421.2011979587777,,9.414554437329096
ECU,Ecuador,6.49160887779196,4.372785933323925,1.2240324522139598,0.4448503104422036,,,316.53729433758815,
EGY,Egypt,19.709908739010988,4.728084111263737,4.2645659163987135,0.009090798926215865,10.541261892865016,118.7125802974409,104.03155748180826,1.8477616693292103
SLV,El Salvador,8.736594901631873,4.457795220389484,3.505555676655948,0.04471383336700617,11.056880800296858,180.72812015777325,,1.503474132556612
EST,Estonia,19.062382924939644,13.21182783791694,5.409725259211038,0.3059890197942379,1.7588915964444816,683.1251265840538,1720.5134015863684,1.4789630234354845
SWZ,Eswatini,12.545189749999999,3.1329322,0.7101467591430353,0.4515831343401828,1.6033540770234453,158.49428315471593,87.56225767779723,0.547511594495356
FIN,Finland,24.637632197644884,12.396445000626601,1.872201506477481,0.3025359567436876,1.8080545266111347,160.4676055257421,5157.844807933329,0.4346243749324197
FRA,France,21.36111454548591,12.266234232395346,3.3087858000000003,0.14186947072277284,1.7998538723510213,753.8165778961459,2818.8547762531325,3.515650949386798
PYF,French Polynesia,35.73072718263939,7.620747207428236,7.3,0.0824333649050281,20.353338263197124,284.5372707436195,,5.993203704243979
GEO,Georgia,28.325324509011455,6.105914501913133,,0.11626536762057876,4.003859386795327,426.64596840687057,2076.1885362798503,1.3276205236467058
DEU,Germany,21.68124757652416,14.89163881376449,3.985673590751259,,2.3777778501186586,150.6945039540223,1931.9976196723653,0.3921992940613161
GHA,Ghana,10.497632249073387,,,0.8744355062260613,13.632154340836012,18.343812820570623,,2.6965927398563925
GRC,Greece,30.58106590873874,16.525621763030713,5.842859889463434,0.09889208,4.6961997937253175,1352.083378409985,457.97932527537444,6.598953875325898
HND,Honduras,24.351742451624325,19.247421940891684,6.066724577832152,0.09672966540216858,5.741428571428572,42.098246719746285,,1.6876226245282322
HKG,Hong Kong,14.997742215822337,2.3884428024565616,0.9224793152774107,0.14822518806821142,,126.38173888256154,,
HUN,Hungary,33.3538398307256,10.801319909059739,5.348974095903762,0.06406668347539099,2.452667716108518,834.4386417874315,1041.5317863308135,1.831076421591924
ISL,Iceland,54.39530878850717,23.89171053478916,4.58503334658198,,1.6562396231241743,1914.4235428142285,,3.2680933171780944
IND,India,21.70433100579268,5.400265599085366,0.9082011218032742,0.14136075338738693,,5.110259110555965,506.90349746878746,0.8348437793640273
IDN,Indonesia,8.839096237666608,0.6321044699999999,2.692887172171155,0.9538433720061517,1.672530223028694,8.264737785693105,1436.2014930232558,3.074155
ISR,Israel,13.008746468735477,1.5091099235413767,1.0650159254836158,0.11051731232143855,2.2074206366084588,64.79768390527794,1044.5608,0.19794478225192236
JPN,Japan,46.209824504007976,24.074736146329972,1.9794889625603673,0.07636455401318727,1.3302239793095458,,1194.475944211339,
JOR,Jordan,4.332466045592881,1.5390439298171643,6.095366795366796,0.1455040999533944,2.0092715355483626,175.48791264276542,38.89713,2.4270238619196025
KAZ,Kazakhstan,6.165860684193606,4.352939815384614,0.7257968610119813,1.0681445050250111,,262.52605683045533,370.57743713819974,0.45433015986061537
KIR,Kiribati,2.835337238461538,,0.7161335819780069,5.096810026353395,7.0531551967421,3.722723924588953,,
KGZ,Kyrgyzstan,2.414711200730216,0.182560489107902,,0.4901925613899613,,21.048541511836177,,0.4830369343195612
LVA,Latvia,34.15712789982275,11.752766204373795,4.807649698241418,0.09465283298813887,1.799897751413393,287.1389685501438,1200.3266748040276,1.0194010851841833
LBN,Lebanon,64.55819,49.553413,2.1670474891682088,,2.677951055138432,152.02239524207832,,
LTU,Lithuania,16.482420498267416,5.363670937568302,1.8811276290715988,0.2916135929218719,1.890340613199019,357.4439684245533,1071.2719269321497,1.1765584237354192
MAC,Macao,222.40747263909603,49.442950705090546,25.993104391567385,,1.778528427697894,5846.601615145742,,
MDG,Madagascar,1.6833019832997964,,,0.0780451739618659,22.250457247367283,0.9332452036456326,0.15303896702175543,1.9230769
MYS,Malaysia,104.98501390627352,36.8107955342541,1.1732099194624908,0.16564087813940073,1.5142857142857145,43.60237971351185,682.253716425039,
MLI,Mali,1.8031778538461538,,,0.06856004471409394,0.8494898040820303,7.173157865440283,1.8070939883367334,
MTQ,Martinique,32.11488908383294,8.943863958642416,2.475660173965674,0.1776026053970561,8.656027219949777,815.830892077395,,
