,CountryCode,CountryName,TourismEmploymentPer1000,TourismGDPPercentage,BusinessToPersonalRatio,AverageStayDays,InboundArrivalsPer1000,DomesticTouristsPer1000,InboundToOutboundRatio,GroceriesCostIndex,RestaurantPriceIndex,SafetyIndex,HealthCareIndex,ClimateIndex,ReverseTrafficIndex,ReversePollutionIndex,Cluster
43,LTU,Lithuania,-0.3048632375221157,-0.7305157598273443,0.1868999849903483,-0.6514279189275862,-0.0595380200692402,-0.0652070203288969,-0.4186384094739299,-0.1858555313511653,0.5026276018845249,0.7717088467258646,1.155128457624378,-0.9465165879319296,1.4380631807108837,1.4235115401636294,1
44,MDG,Madagascar,-0.7975442945924215,-0.258475507558051,-0.5807395593134969,5.369346138128842,-0.4972743603756994,-1.252814010948322,-0.1627286509080616,-1.4047763829104247,-1.443748250402636,-0.8319031392319935,-0.8490101386055269,-0.0296701916508915,-1.237862391751233,-1.142427019478393,0
45,MYS,Malaysia,2.6414981440439487,-1.0202174465060003,-0.2658899819964996,-0.762632663973424,-0.4448837040284025,-0.4965323862312719,-0.2473864277510086,-0.3703408494249994,-1.0074915938555138,-0.4342127523683028,0.6296171131069074,-1.863434077789876,-0.4046494662534431,-0.3414331136314211,0
46,MUS,Mauritius,-0.1040100152120834,2.2247765428722195,-0.7222254611428304,0.1403481685827287,-0.2797745252010657,-0.1207774795691645,0.6691181715038832,-0.2517431449489631,-0.5712349373083916,-0.5146075256412475,-0.0608561825389568,-0.0088454783610784,-0.2864591855760159,-0.015910180366628,0
47,MEX,Mexico,-0.2968586333838546,1.3772346330284817,-0.791392760393932,-0.1760381761426264,-0.1954336914925731,-0.2140886529412635,0.1486925143902034,-0.311041997186981,-0.2300598597523087,-0.7631004612121668,0.8756011467108299,0.4861669899711126,-0.4860716529797741,-0.2091894219925988,0
48,MDA,Moldova,-0.8248084199899405,-1.327554033752268,0.1952501434549186,-0.390542525319454,-0.4718830464822401,-1.246713403206872,-0.7062518911536728,-0.8842642354878221,-0.7222468568823954,-0.0980164277723528,-0.4388689920826442,-0.028911107170566,-0.398150121773538,-0.3566920011282082,0
49,MCO,Monaco,5.716510486261777,4.318969272394984,-0.2485598767608812,-0.4605154454964594,6.654130757988889,-0.8702697462727875,4.972566325442448,-0.3192834636524758,2.0308093881012192,1.436792880165679,-2.2859991343240225,0.160122726748899,1.4924740959749545,-1.216275996780553,2
50,MNG,Mongolia,-0.7071832960311062,-1.475025783718777,0.8712903831569497,0.558946212267535,-0.479279291069063,-0.8376484039009864,-0.1984364550014146,-0.284686951747862,-0.8900378786312886,-0.6680884564350508,-0.6229270079098453,-0.0236182346394755,-1.0975110415404992,-1.7045603966777425,0
51,MNE,Montenegro,0.0669530051956391,2.591976371476213,-0.3070393804346676,-0.1282195373567264,2.260732290560441,-0.4424001251456255,1.7106745013794578,-0.5416486447792733,-0.1349782807612691,0.5524503741632887,-1.1007843556698496,0.0524616955898854,0.9038110439932996,0.5384960653499727,2
52,MAR,Morocco,-0.3403325930448205,1.3795535661405347,-0.4196140119622673,-0.4485517291126539,-0.3707492784450991,-0.4905592478068752,0.6674544030768294,-0.9303855650062806,-1.0018985597972174,-0.3538179790953581,-1.997939609480444,0.4779802266688099,0.4395700487511438,-0.7330778927156255,0
53,MOZ,Mozambique,-0.7984792414052921,-0.3499395900581044,-0.4764196856256631,-0.6215707477060527,-0.475133629728418,-0.2887191704093751,-0.2919573111751881,-0.6141250197368511,-0.1685364851110478,-1.25277771660192,-0.2868262348088031,-0.0160687155613786,-0.4545072153737923,-0.2711777127587809,0
54,NAM,Namibia,-0.2386778771776275,0.6088167618305368,0.4669811585923346,-0.638721244406273,-0.3704502309358214,0.5636029648827463,-0.3437676982389342,-0.7656665310117861,-0.627165277891356,-1.5012706521728394,-0.1715317935163054,-0.0019783520526569,-0.3016823022220397,-0.1580804287666517,0
55,NLD,Netherlands,0.4438792822793769,-0.4671865061248707,0.6671674683477367,-0.6865823876962659,-0.0230216704427293,0.614496455799518,-0.6143398411801121,0.9144676157320576,1.5429319367276626,1.1736827130905874,1.6359154323956802,0.6417154927148719,1.440205869835261,1.6625674442799612,1
56,NZL,New Zealand,0.3248116807143128,-0.1346979429041641,-0.4263652646261249,-0.6485524872669289,-0.4000579061285561,2.951381125062833,-0.4723275732697218,1.2702607291601662,0.7655002026244573,-0.383052442103702,0.4171763568126118,1.3212168468060288,0.3410063490297962,1.4336841318281537,1
57,NIC,Nicaragua,-0.6188755484320054,-0.2829279208294301,-0.4305476387687613,-0.4560987580789293,-0.4488267027637706,-0.1076432398498208,-0.5819226344556475,-0.12771479958616,-0.2200944970524721,-0.5730764516579342,-0.0450287326609275,-0.0129954279681051,-0.2691667657557864,-0.1054221969230514,0
58,NGA,Nigeria,-0.7719075477561972,0.3417650491706005,0.6833316397459882,0.694149264374532,-0.4951890605276595,-1.2432872645789597,-0.1085258217442113,-0.7327227242128871,-1.0354567641469958,-1.7278377404875014,-1.7407744834399792,-1.5195900190931464,-3.933658454102567,-1.7096466925100051,0
59,NOR,Norway,0.2744616322137245,0.0241310605131819,0.1608585292083376,-0.683590788209537,-0.1449583396047864,2.8070070960761955,-0.5558388828685622,1.9093705810588049,1.9288512867501164,0.7278571522133499,1.2222150122436288,-0.8892092448158077,1.2580772942632057,1.8304152067446209,1
60,PSE,Palestine,-0.5940346490685918,-1.0797136661219358,0.1708643721767111,-0.6090836334547515,-0.4183655338348631,-1.2477649275674112,-0.1075128680948376,-0.1265566791131474,-0.4090369496177949,0.0116128085089351,-0.2865182535323922,-0.0275328153198455,-0.5291192439631724,-0.557927344913924,0
61,PAN,Panama,0.2338518464270514,2.2356329282714187,-0.6121542288383186,-0.457236500947949,-0.3224245786533566,0.1502889059587104,-0.4417676994799805,0.4400767978279137,0.0999291496871811,0.0189214242610205,-0.4437677608011163,-0.9465165879319296,-0.1089583670894004,-0.066773138689252,0
62,PRY,Paraguay,-0.8044612107411439,-1.3507270692871611,-0.0186263868544533,-0.1754289057162446,-0.4710376792571907,-1.0274339452773684,-0.708059928102765,-1.3323000079528473,-1.136131377196332,-1.2308518693456625,-0.7644569254101226,-0.0259253122943319,-0.8088003813241188,-0.892684245893923,0
