,CountryName,CountryCode,TourismEmploymentPer1000,TourismGDPPercentage,BusinessToPersonalRatio,AverageStayDays,InboundArrivalsPer1000,DomesticTouristsPer1000,InboundToOutboundRatio,GroceriesCostIndex,RestaurantPriceIndex,SafetyIndex,HealthCareIndex,ClimateIndex,ReverseTrafficIndex,ReversePollutionIndex
0,Albania,ALB,-0.3339458119188244,1.1186355809349695,-0.7833370867878588,-0.4525895350178951,1.7040735359616785,-0.6939719799854217,1.3492856228050811,-0.1660892472718262,-0.10701311046978691,-0.12725089078069673,-1.8414043153688562,0.5762213862964474,0.7845429977758608,-1.155240446793404
1,Algeria,DZA,-0.6068361651829653,-1.0379327216852918,5.481194892350999,-0.7309326754770167,-0.9689304173021472,-0.3900888158929326,-0.6315189328720365,-0.6404800651759701,-1.4325621822860433,-0.70463153519548,-1.1369954918667156,-0.030293520804824954,-0.64532111082575,-0.48893569276703047
2,Angola,AGO,-0.7723794995167654,-0.28939930483789217,-0.45933151127867977,-0.027571841209404587,-0.4959621436855274,-0.5228236493684695,1.3817743368758724,-0.592393745541143,-0.6481163981324908,-1.7059118932312436,-0.45870756526731976,-0.01968217614003719,-0.8318990951651257,-0.5585372497509739
3,Argentina,ARG,0.087577957370611,-0.7265624463720788,-0.35580654072355455,-0.45568141391412953,-0.4782097087989824,-0.5374365073839317,-0.6776699458205727,-0.3901071335043386,-0.017524565537044207,-1.4939620364207535,0.3724519870664435,1.5504462192705153,-0.516069300721054,0.17736906125934307
4,Australia,AUS,-0.1389948533779138,-0.8567444137260604,0.14651181861786564,-0.5549292240372777,-0.1947469428100208,2.2477797048344534,-0.486189529910196,1.6458201266676138,1.0675240417724654,-0.31727490033492883,0.9762309786397078,1.1820418706668758,-0.2503758492982905,1.3980800610023174
5,Austria,AUT,-0.24466815296727337,-0.20329801406280343,-0.22391895940262582,-0.13792622634075402,1.3718599348603826,0.08519600638890598,-0.13170458668941923,1.2702607291601662,1.0954892120639474,0.9836587035363552,1.479380138284094,-0.12784025770161975,1.579480662919773,1.6981715151057988
6,Azerbaijan,AZE,-0.6822315794689239,0.01382272268091248,0.30915611813487875,-0.7579025537786823,-0.3833745774528454,-0.07883604071667273,-0.6039937000938694,-0.9633293718051794,-0.39225784744290537,0.8155605412383805,-1.830223222932315,0.9855595514116022,-0.23109164717889624,-0.9365297260061213
7,Bahrain,BHR,0.7285146423383716,-0.5812480199658027,-0.6395393623723108,-0.3355430168231374,1.2127538115921699,-1.1181893952895723,-0.16793872857259842,0.21605891159540133,0.4187320910100783,1.3490894911406486,-0.6050287940763676,0.016276933911726105,0.1291939360579751,-0.8805804718512346
8,Belarus,BLR,0.011361707703691312,-0.849545197864152,0.14834951128189036,-0.5061001149878461,-0.3964299886723551,-0.9298256308106542,-0.22017235467019453,-1.2005247807572517,-0.7054677547075061,-0.4999902941370755,-1.8078610380592308,-1.2248665402102341,0.8423956041340435,0.4774605153628238
9,Belgium,BEL,-0.42819679515647674,-0.7221078689833484,0.835389258019197,-0.10647041231418508,-0.14700340515118596,-0.5509565705671872,-0.691642638138843,0.7695148658169028,1.5093737323778835,-0.47075583112873215,1.2557582895532557,0.5434743330872345,0.3067233230397624,0.2587497945755411
10,Belize,BLZ,0.5617756297288783,0.12174708874934259,-0.5957038949802606,0.6337468365651416,0.1678176546782904,-0.1760307628499217,0.15759262457784007,0.24900271839430022,-0.30276930251016226,-0.711940150947566,-0.1288642323295667,0.0019837300986256137,-0.4347903391872106,-0.2961622905690093
11,Brazil,BRA,-0.509237818095404,-0.3000046517894947,-0.21881313852771997,0.20442539151293448,-0.4921105095305828,-0.18507735798972483,-0.6075218610856982,-1.1214596444398943,-0.985119457622328,-1.5743568096936982,-0.6226652397857871,1.476765349549788,-0.4089348445021978,0.07055684878183238
12,Brunei,BRN,-0.621083748494428,-1.165548219598968,3.7294841291026426,0.42285679025278866,-0.4411341184790856,0.2398629490727329,-0.36252062367510085,1.4283910017948802,-0.5936070735415773,0.9982759350405271,0.5056648852529616,-0.008232380734767352,0.02838467558872135,0.2856426691711963
13,Cameroon,CMR,-0.8090019862230038,-0.24256464877542758,0.16391571617189976,-0.7548446552832261,-0.4529576877461427,-0.9685966390998282,-0.15734171410604395,-0.5416486447792733,0.11670825186207065,-1.6474429672145567,-0.7984344281325707,-0.0245888821016472,-1.2809459739260636,-2.0046518507812237
14,Cayman Islands,CYM,5.063247832468823,0.18802023880006674,-0.6145098267428223,0.5850931758225877,0.3263810172582022,0.7879457021579803,0.10815878982440025,0.24661106970334096,0.29902440744103187,0.8886466987592391,1.0430506198380622,0.01880815472209267,0.08142244885452161,-0.31415536543856243
15,Chile,CHL,0.016791672085702692,-0.14251747230449083,-0.511771076684531,-0.569197094500148,-0.47004030870917113,1.4728088965793869,-0.6478884999736435,-0.3176307585467609,-0.1853155872859374,-1.2820121796102635,-0.13069717257794286,0.8873183917839649,0.4545688726217841,-1.180671925954716
16,Costa Rica,CRI,0.10046931726674836,0.4622127982015943,-0.602599033728944,2.7790234324546055,-0.17637710358498643,-0.6598494366220421,0.007157664368842794,0.8749350475733794,0.4299181591266709,-0.8142607714767681,-0.041248433085607834,1.6486873788981526,-3.2072868409387216,0.6249630944984336
17,Croatia,HRV,-0.19418589161200642,3.2992717829496803,-0.38306110291447837,-0.08512731113330317,2.555853279574665,-0.34813487122504444,4.544588927876308,-0.1331454404729273,0.37398781854370655,1.2760033336197898,0.0034759366605604776,0.8054507587609339,1.2580772942632057,1.1742830443827719
18,Cyprus,CYP,0.38089996548800215,0.8185604610119132,-0.42404237571327613,0.10611357138442758,1.2917015233951965,0.14675496207534025,0.908630844458451,0.2687690024736394,0.7039768279831968,0.7205485364612644,-0.8462870885166256,1.0510536578300267,0.945244682104145,-0.05151425119246461
19,Denmark,DNK,0.2478997857400427,-0.8032161248909943,-0.7636568748264069,-0.8861946094707902,1.0960278542300061,2.1879063611639444,-0.05470162373472474,1.1911955928428086,2.275619398364496,1.2394602548593605,1.5352856004668038,0.2569376175066261,1.4080655329696043,1.7134304026025853
20,Dominican Republic,DOM,-0.3412723990359698,0.04953804162402465,-0.7723939924362226,1.5849012698753606,0.018745337222924208,-0.685312375477403,2.405382211494816,-0.4428172243825767,-0.38107177932631275,-1.2820121796102635,-0.712113979278123,-0.00864828523333316,-0.8913756876464596,-0.9619612051674332
21,Ecuador,ECU,-0.6374697792690321,-0.9994193039259658,0.7376863071476174,0.08550076344718423,-1.23539977196357,-0.9020218088671664,-0.7582147564659124,-0.6404800651759701,-0.7278398909406918,-1.4281844946519808,1.3899313987917576,1.5831932724797282,-0.023250802114314833,-0.2397071969861733
22,Egypt,EGY,-0.19741614082353218,0.24486044924421493,-0.8285856841660445,1.9067716899509402,-0.35266077164013754,-1.1376383230303193,-0.18854703733800898,-1.5299628487462407,-1.225619922129075,-0.31727490033492883,-1.942034147297734,1.0346801312254204,-1.6581226040140604,-1.4451593092323607
23,El Salvador,SLV,-0.5627314030464986,-0.06574987124242111,-0.7005440474015314,2.059247483531787,-0.27651592187142465,-0.39390403350466,-0.3065702922393203,-0.007958974637111574,-0.43140908585098064,-1.143148480320632,-0.28739950270828135,-0.012367231503087705,-0.7492391603665133,-0.3748946103450682
24,Estonia,EST,-0.21897308032870091,0.7134948521209806,0.23857029367743388,-0.6902992497810219,0.3403447015261258,0.65464184291374,-0.314972806332148,0.14358253663782364,0.7766862707410503,1.4075584171573352,1.2110339198070874,-1.233053303512538,1.6180490671585628,1.8965370525640317
25,Finland,FIN,-0.03336609959341081,-0.7341686035631568,0.22615877815709245,-0.6757610769485777,-0.3013924906534956,4.4657956309013285,-0.6729766065015943,1.085775411086332,1.3751409149787694,1.1809913288426739,1.4346557685379258,-1.699698811743814,1.5644818390491346,2.1610244358416764
26,France,FRA,-0.14244544636278364,-0.14627415306361674,-0.3513327288484042,-0.6781861262401578,0.42714213894607467,1.8724318653815961,0.3832126130190713,1.362503388197083,0.8941399859652757,-0.9092727762538841,1.45701795341101,0.8873183917839649,0.5252776137262288,0.5486686570144976
27,Georgia,GEO,0.08940176284897555,-0.017924719333837297,-0.44336282455912635,-0.02643056602365964,0.025430616892001937,1.0489979513695893,-0.36685366904769406,-0.7722552923715659,-0.3698857112097197,1.2175344076031032,-1.0140034750647544,0.7481434156448119,0.37743206414420716,-0.6873012302252636
28,Germany,DEU,-0.13178781969565975,0.13072913702373992,-0.02625798297041338,-0.5072858433579428,-0.3133922467247796,0.8891257443989966,-0.6875201074972932,0.9078788543722782,0.9724424627814257,0.2601057440798545,0.808514592091579,0.2896846707158389,1.1059463664324294,1.2912678485248075
29,Ghana,GHA,-0.5041042800188491,-0.26575199920989784,2.2817656496694747,2.820792242891433,-0.47589705625862666,-0.790313947323191,0.10243592052361282,-0.6338913038161906,-0.5600488691917985,-0.17841120104529748,-0.8127438112070001,-0.022920040876729594,-1.02303450344337,-1.6587837341873812
30,Greece,GRC,0.16449819890838532,0.8907468564709518,-0.5058084925893707,0.17830427099100385,1.161715050015315,-0.7451974389522249,1.4401821756623625,0.097461207119365,0.6144882830504537,-0.2514973585661562,-0.6897517944050389,1.018306604620814,0.4974226551093266,0.24857720291101615
31,Honduras,HND,-0.0428837247230774,0.9823591680827346,-0.5135809664624212,0.4873931834741241,-0.44673053114786937,-0.43521255591296415,-0.24344339368413456,-0.25833190630874303,-0.4817463923756485,-2.1225029911001383,-0.31838523877815844,-0.017288457410958417,-1.0546094164154973,-0.622639613369502
32,Hungary,HUN,0.25680729052893114,0.6886336087322167,-0.6309831398922467,-0.48513985223275014,0.5261327299636052,-0.0981815101609734,-0.19426681234133703,-0.4955273152608152,-0.2188737916357157,0.6766968419487486,-1.1593576767397997,-0.054159387980891406,0.5509898832187546,0.3960797820466258
33,Iceland,ISL,0.9573039557828165,0.3760055721723169,-0.42441582694479346,-0.720654888158621,1.852175980193614,1.1423021932745734,0.29834878726800707,3.121702671258284,3.053051132467701,1.2613861021156179,0.32772761732027517,-0.8646489549088986,1.24736384864132,1.9474000108866556
34,India,IND,-0.13101934363262124,-1.1286671923231377,-0.3531612367589686,0.5798177114109251,-0.4921456765467781,-0.6909525838198994,-0.5357796657454105,-1.3454775306724067,-1.3151084670618178,-0.09801642777235285,0.09292467615289551,-1.314920936535569,-1.141734525039174,-0.946702317670646
35,Indonesia,IDN,-0.5593190061163953,-0.39831880300408606,2.5671852739678807,-0.7158375276767849,-0.4882724972540091,0.33940997283873836,0.23186589434075047,-0.6866013946944287,-1.393410943877968,-0.22226289555781278,-0.42140557592803296,-1.2739871200240533,-0.8588995606213938,-0.6974738218897887
36,Israel,ISR,-0.42050616524490986,-1.0644937544987583,-0.4640233443679637,-0.557662877535308,-0.418859367916535,-0.09482308015976094,-0.7541113933100957,1.2043731155623683,1.9232582526918203,0.8155605412383805,0.9538687937666236,1.1820418706668758,-0.06610458460185732,-0.1278086886764005
37,Japan,JPN,0.6847990058534887,-0.6902632787425125,-0.5867802948203381,-0.817062318712314,-0.6720543945981009,0.0713958851348759,-0.5109389167060915,0.7629261044571228,-0.5992001075998739,1.466027343174022,1.7141830794514739,0.4861669899711126,0.16316315170649473,0.8029834486276173
38,Jordan,JOR,-0.7093503289016158,0.9940804438996443,-0.3382686010157668,-0.6162583653965893,-0.2829500320135888,-1.2098563580930226,0.010026544650072909,-0.5021160766205951,-0.16294345105275132,0.2162540495673392,0.059381398843270074,0.7890772321563274,-0.6296318243130412,-1.160326742625666
39,Kazakhstan,KAZ,-0.6483143416798584,-1.2033126225635953,2.9780234966380665,-0.001332959907121294,-0.1760815531090224,-0.842104602583929,-0.6662213783007344,-1.0226282240431976,-0.6775025844160238,-0.16379396954112607,-0.4437677608011163,-3.238810312576797,0.3517197946516819,-0.9619612051674332
40,Kyrgyzstan,KGZ,-0.7731947722860671,-0.27509730796248427,0.9006622051045405,0.3352351065359649,-0.47257609573283954,-0.56333086404609,-0.6563805720051512,-0.9830956558845189,-1.046642832263589,-0.8288780029809395,-0.5096312810703705,-0.01975888417577213,-0.5905150546549003,-0.6100127549621843
41,Latvia,LVA,0.2835497491837813,0.4671070260314086,-0.5210458280541519,-0.6781731505816623,-0.14586095889203887,0.0778829041111802,-0.47251262403690225,-0.15291172455226645,0.17263859244503504,0.42820390637782924,-0.25368918937990415,-0.3816299200730153,1.0352376253279847,1.2200597068731336
42,Lebanon,LBN,1.2956389081716473,-0.6135085644985956,0.001961754017745911,-0.41852038695709054,-0.31176181533829284,-0.3872116233743164,-0.15254784278074174,-0.7722552923715659,0.043998809104216705,-0.2807318215744995,-0.10833498770485872,1.2557227403876043,-0.741051658780652,-1.7859411299939412
43,Lithuania,LTU,-0.30486323752211575,-0.7305157598273443,0.18689998499034835,-0.6514279189275862,-0.05953802006924028,-0.06520702032889693,-0.4186384094739299,-0.18585553135116537,0.5026276018845249,0.7717088467258646,1.1551284576243779,-0.9465165879319295,1.4380631807108837,1.4235115401636294
